Invoice_ID,Vendor_Name,Category,Department,Invoice_Date,Amount,Payment_status,Region
INV1,Microsoft,Logistics,IT,2025-12-23,15425,Pending,South
INV2,HP,Logistics,Marketing,2024-07-26,10544,Pending,East
INV3,Cisco,Software,Operations,2025-08-29,982,Pending,West
INV4,Lenovo,IT Hardware,Marketing,2026-01-17,10308,Pending,East
INV5,TCS,Office Supplies,Operations,2025-09-24,22520,Paid,South
INV6,Wipro,Software,Finance,2025-05-10,46669,Paid,West
INV7,TCS,Consulting,HR,2025-03-15,11393,Pending,North
INV8,Dell,Office Supplies,IT,2025-08-14,7974,Pending,West
INV9,Microsoft,Logistics,Operations,2026-03-01,35693,Pending,South
INV10,HP,Logistics,Marketing,2025-10-13,45781,Paid,West
INV11,TCS,Software,HR,2025-08-19,18026,Paid,East
INV12,TCS,IT Hardware,IT,2024-07-12,14854,Paid,West
INV13,Lenovo,Software,HR,2025-09-14,49548,Pending,South
INV14,TCS,Office Supplies,Finance,2025-03-28,13950,Paid,West
INV15,Infosys,Software,Marketing,2025-04-19,25445,Pending,East
INV16,Infosys,Office Supplies,HR,2024-03-28,43937,Pending,South
INV17,Microsoft,Office Supplies,Finance,2025-02-18,27217,Paid,West
INV18,Lenovo,Office Supplies,HR,2025-02-23,15487,Pending,East
INV19,Lenovo,Consulting,Finance,2024-05-18,47601,Pending,West
INV20,Amazon,Consulting,IT,2025-07-05,49328,Paid,North
INV21,Microsoft,IT Hardware,Finance,2024-03-16,39743,Paid,East
INV22,Cisco,Consulting,HR,2025-12-12,9371,Paid,South
INV23,Microsoft,Software,HR,2025-10-04,8688,Paid,North
INV24,Dell,Logistics,HR,2026-02-24,47836,Paid,South
INV25,Dell,Logistics,HR,2025-03-21,25764,Paid,South
INV26,Amazon,Logistics,HR,2025-06-25,20755,Pending,South
INV27,TCS,Consulting,IT,2025-03-31,12548,Paid,North
INV28,Lenovo,Logistics,IT,2024-08-12,5978,Pending,North
INV29,HP,Software,Operations,2024-09-29,5580,Pending,West
INV30,Wipro,Logistics,HR,2025-10-20,4032,Paid,South
INV31,TCS,Software,Finance,2024-07-22,6832,Pending,West
INV32,Wipro,Consulting,Marketing,2024-04-06,12288,Pending,West
INV33,Wipro,Logistics,IT,2025-02-24,40020,Pending,East
INV34,HP,Software,HR,2025-02-27,34379,Pending,North
INV35,Infosys,IT Hardware,HR,2026-03-08,32156,Paid,East
INV36,Amazon,Software,Marketing,2025-11-08,7337,Pending,North
INV37,Amazon,Software,Marketing,2025-09-30,7114,Paid,East
INV38,Dell,Consulting,Marketing,2024-07-21,36767,Pending,North
INV39,Lenovo,IT Hardware,Marketing,2026-01-27,42315,Paid,West
INV40,HP,Software,IT,2025-09-08,2718,Pending,East
INV41,HP,Office Supplies,Marketing,2024-09-05,11687,Paid,West
INV42,Cisco,IT Hardware,Finance,2026-02-28,47360,Paid,East
INV43,Microsoft,Software,HR,2024-12-20,7171,Pending,South
INV44,Cisco,Software,Finance,2025-05-16,21278,Paid,East
INV45,Oracle,Logistics,IT,2025-10-10,37934,Pending,South
INV46,Lenovo,Consulting,Finance,2024-08-25,30044,Paid,West
INV47,HP,Office Supplies,IT,2024-11-20,11391,Paid,West
INV48,Dell,Consulting,Operations,2025-05-27,36192,Paid,North
INV49,Infosys,Office Supplies,IT,2025-05-04,29532,Pending,East
INV50,Oracle,Software,Finance,2026-01-31,9322,Paid,South
INV51,Wipro,Software,Finance,2025-07-09,17569,Paid,East
INV52,HP,Office Supplies,IT,2024-04-23,3260,Pending,South
INV53,Wipro,Office Supplies,Operations,2025-03-31,45515,Paid,South
INV54,Oracle,Logistics,Marketing,2025-04-25,7496,Paid,East
INV55,HP,IT Hardware,IT,2024-11-14,46307,Paid,West
INV56,TCS,IT Hardware,IT,2024-04-06,34969,Pending,South
INV57,Dell,IT Hardware,Marketing,2024-08-19,36416,Pending,West
INV58,Infosys,IT Hardware,Operations,2024-11-16,17866,Pending,West
INV59,Oracle,Software,Operations,2024-05-26,2981,Paid,North
INV60,Oracle,Consulting,Finance,2025-09-22,13472,Paid,East
